Step 0
Move no.:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
Occurences:,0,1882,394,403,940,886,1412,1344,1979,1959,1867,1925,1858,8076,1868,1941,1919,1925,1959,1960,3883,1937,1885,1967,
No. of Loops:,0,1,2,3,4,5,6,7,8,9,10,11,12,
Occurrunces:,0,3,78,1037,4440,2355,1468,438,151,18,12,0,0,
Step 1
Move no.:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
Occurences:,1449,1408,1462,0,2956,2041,402,389,428,918,878,888,2147,2095,2104,2107,2037,2078,2089,2105,2166,2122,2098,2206,
No. of Loops:,0,1,2,3,4,5,
Occurrunces:,0,2,155,1794,7366,683,
Step 2
Move no.:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Occurences:,0,3147,2204,2191,3163,3231,3197,3163,670,616,1316,1317,3150,3187,3159,3127,
No. of Loops:,0,1,2,3,4,5,
Occurrunces:,0,18,314,2480,7188,0,
Step 3
Move no.:,0,1,2,3,4,5,6,
Occurences:,1241,1285,1263,1266,1194,1220,1252,
No. of Loops:,0,1,2,3,4,5,
Occurrunces:,1279,8721,0,0,0,0,
Step 4
Move no.:,0,1,2,3,4,5,6,7,8,9,10,
Occurences:,5748,2531,4279,418,2456,460,847,3341,809,412,369,
No. of Loops:,0,1,2,3,4,5,6,7,8,9,10,11,12,
Occurrunces:,0,406,2068,4238,2441,432,415,0,0,0,0,0,0,
Step 5
Move no.:,0,1,2,3,4,5,6,7,8,9,10,
Occurences:,2449,3323,2526,0,3488,0,0,4050,0,0,0,
No. of Loops:,0,1,2,3,4,5,
Occurrunces:,803,3329,5097,771,0,0,
Step 6
Move no.:,0,1,2,
Occurences:,391,6005,3604,
No. of Loops:,0,1,2,3,4,5,6,7,8,9,10,11,12,
Occurrunces:,391,0,0,6005,0,0,3604,0,0,0,0,0,0,
